Store Name,City,County,State,Latitude,Longitude,Place Classification,Place Population,Place Store Count,"Place Stores per 10,000",Place Poverty Rate %,Place Poverty Count,County Total Population (ACS 2023),County Total Stores in County,"County Stores per 10,000",Adjusted County Density (excl. Place),Place Density > Adjusted County Density,County Poverty Rate %,County Poverty Count (ACS 2023),Place Density > County Density,Is Rural Store,Place Urban Population Share
Dollar General,Forest City,Rutherford,NC,35.321,-81.879,"Urban (5,000+)",7294,5,6.92,0.336,2449.0,63623,16,2.51,1.95,Yes,0.175974097417601,11196,Yes,No,0.986038
Dollar General,Forest City,Rutherford,NC,35.236,-81.85,"Urban (5,000+)",7294,5,6.92,0.336,2449.0,63623,16,2.51,1.95,Yes,0.175974097417601,11196,Yes,No,0.986038
Dollar General,Forest City,Rutherford,NC,35.299,-81.909,"Urban (5,000+)",7294,5,6.92,0.336,2449.0,63623,16,2.51,1.95,Yes,0.175974097417601,11196,Yes,No,0.986038
Dollar General,Beaufort,Carteret,NC,34.806,-76.672,"Rural (< 5,000)",4385,3,6.95,0.142,623.0,67511,15,2.22,1.9,Yes,0.100442890788168,6781,Yes,Yes,0.981183
Dollar General,Beaufort,Carteret,NC,34.732,-76.637,"Rural (< 5,000)",4385,3,6.95,0.142,623.0,67511,15,2.22,1.9,Yes,0.100442890788168,6781,Yes,Yes,0.981183
Dollar General,Beaufort,Carteret,NC,34.719,-76.66,"Rural (< 5,000)",4385,3,6.95,0.142,623.0,67511,15,2.22,1.9,Yes,0.100442890788168,6781,Yes,Yes,0.981183
Dollar General,Troutman,Iredell,NC,35.701,-80.888,"Rural (< 5,000)",3807,2,7.02,0.033,124.0,189857,21,1.11,1.02,Yes,0.0909684657400043,17271,Yes,Yes,0.778799
Dollar General,Troutman,Iredell,NC,35.669,-80.853,"Rural (< 5,000)",3807,2,7.02,0.033,124.0,189857,21,1.11,1.02,Yes,0.0909684657400043,17271,Yes,Yes,0.778799
Dollar General,Canton,Haywood,NC,35.471,-82.89,"Rural (< 5,000)",4320,3,7.1,0.118,511.0,61714,10,1.62,1.22,Yes,0.112778299899537,6960,Yes,Yes,0.993894
Dollar General,Canton,Haywood,NC,35.533,-82.86,"Rural (< 5,000)",4320,3,7.1,0.118,511.0,61714,10,1.62,1.22,Yes,0.112778299899537,6960,Yes,Yes,0.993894
Dollar General,Canton,Haywood,NC,35.495,-82.871,"Rural (< 5,000)",4320,3,7.1,0.118,511.0,61714,10,1.62,1.22,Yes,0.112778299899537,6960,Yes,Yes,0.993894
Dollar General,Glen Alpine,Burke,NC,35.728,-81.779,"Rural (< 5,000)",1956,1,7.11,0.132,259.0,85482,15,1.75,1.68,Yes,0.179289207084532,15326,Yes,Yes,0.792675
Dollar General,Pinebluff,Moore,NC,35.111,-79.471,"Rural (< 5,000)",1723,1,7.15,0.041,70.0,101170,15,1.48,1.41,Yes,0.0996046258772363,10077,Yes,Yes,0.887984
Dollar General,Fremont,Wayne,NC,35.538,-77.979,"Rural (< 5,000)",933,1,7.24,0.319,298.0,114923,20,1.74,1.67,Yes,0.169121933816555,19436,Yes,Yes,0.000000
Dollar General,Carthage,Moore,NC,35.342,-79.405,"Rural (< 5,000)",2698,2,7.24,0.136,368.0,101170,15,1.48,1.32,Yes,0.0996046258772363,10077,Yes,Yes,0.000000
Dollar General,Carthage,Moore,NC,35.225,-79.402,"Rural (< 5,000)",2698,2,7.24,0.136,368.0,101170,15,1.48,1.32,Yes,0.0996046258772363,10077,Yes,Yes,0.000000
Dollar General,West Jefferson,Ashe,NC,36.38,-81.487,"Rural (< 5,000)",1500,1,7.31,0.153,229.0,26504,5,1.89,1.6,Yes,0.140507093268941,3724,Yes,Yes,0.000000
Dollar General,Clyde,Haywood,NC,35.532,-82.908,"Rural (< 5,000)",1522,1,7.32,0.063,96.0,61714,10,1.62,1.5,Yes,0.112778299899537,6960,Yes,Yes,1.000000
Dollar General,Princeton,Johnston,NC,35.471,-78.165,"Rural (< 5,000)",1538,1,7.39,0.106,163.0,223985,19,0.85,0.81,Yes,0.11190481505458,25065,Yes,Yes,0.000000
Dollar General,Stony Point,Alexander,NC,35.856,-81.037,"Rural (< 5,000)",1301,1,7.41,0.038,49.0,34841,6,1.72,1.49,Yes,0.120662437932321,4204,Yes,Yes,0.000000
Dollar General,La Grange,Lenoir,NC,35.307,-77.83,"Rural (< 5,000)",2692,2,7.48,0.29,780.0,53873,11,2.04,1.76,Yes,0.224602305422011,12100,Yes,Yes,0.000000
Dollar General,La Grange,Lenoir,NC,35.302,-77.781,"Rural (< 5,000)",2692,2,7.48,0.29,780.0,53873,11,2.04,1.76,Yes,0.224602305422011,12100,Yes,Yes,0.000000
Dollar General,Rutherfordton,Rutherford,NC,35.353,-81.962,"Rural (< 5,000)",3459,3,7.5,0.191,660.0,63623,16,2.51,2.16,Yes,0.175974097417601,11196,Yes,Yes,0.963736
Dollar General,Rutherfordton,Rutherford,NC,35.328,-81.949,"Rural (< 5,000)",3459,3,7.5,0.191,660.0,63623,16,2.51,2.16,Yes,0.175974097417601,11196,Yes,Yes,0.963736
Dollar General,Rutherfordton,Rutherford,NC,35.392,-81.937,"Rural (< 5,000)",3459,3,7.5,0.191,660.0,63623,16,2.51,2.16,Yes,0.175974097417601,11196,Yes,Yes,0.963736
Dollar General,Marion,McDowell,NC,35.691,-82.064,"Urban (5,000+)",6487,6,7.62,0.242,1568.0,43337,11,2.54,1.36,Yes,0.139765096799502,6057,Yes,No,0.884800
Dollar General,Marion,McDowell,NC,35.69,-81.998,"Urban (5,000+)",6487,6,7.62,0.242,1568.0,43337,11,2.54,1.36,Yes,0.139765096799502,6057,Yes,No,0.884800
Dollar General,Marion,McDowell,NC,35.582,-82.044,"Urban (5,000+)",6487,6,7.62,0.242,1568.0,43337,11,2.54,1.36,Yes,0.139765096799502,6057,Yes,No,0.884800
Dollar General,Marion,McDowell,NC,35.797,-82.034,"Urban (5,000+)",6487,6,7.62,0.242,1568.0,43337,11,2.54,1.36,Yes,0.139765096799502,6057,Yes,No,0.884800
Dollar General,Marion,McDowell,NC,35.701,-82.027,"Urban (5,000+)",6487,6,7.62,0.242,1568.0,43337,11,2.54,1.36,Yes,0.139765096799502,6057,Yes,No,0.884800
Dollar General,Marion,McDowell,NC,35.64,-81.985,"Urban (5,000+)",6487,6,7.62,0.242,1568.0,43337,11,2.54,1.36,Yes,0.139765096799502,6057,Yes,No,0.884800
Dollar General,Buxton,Dare,NC,35.266,-75.53,"Rural (< 5,000)",1451,1,7.69,0.078,113.0,37352,3,0.8,0.56,Yes,0.0754176483186978,2817,Yes,Yes,0.000000
Dollar General,West End,Moore,NC,35.212,-79.511,"Rural (< 5,000)",2600,2,7.69,,,101170,15,1.48,1.32,Yes,0.0996046258772363,10077,Yes,Yes,
Dollar General,West End,Moore,NC,35.266,-79.588,"Rural (< 5,000)",2600,2,7.69,,,101170,15,1.48,1.32,Yes,0.0996046258772363,10077,Yes,Yes,
Dollar General,Pinetops,Edgecombe,NC,35.79,-77.633,"Rural (< 5,000)",1317,1,7.92,0.184,242.0,48062,5,1.04,0.86,Yes,0.218800715742166,10516,Yes,Yes,0.000000
Dollar General,Boonville,Yadkin,NC,36.233,-80.71,"Rural (< 5,000)",1502,1,8.04,0.131,197.0,37017,9,2.43,2.25,Yes,0.136423805278656,5050,Yes,Yes,0.000000
Dollar General,Maiden,Catawba,NC,35.562,-81.197,"Rural (< 5,000)",3458,3,8.2,0.128,442.0,158926,27,1.7,1.54,Yes,0.128210613744762,20376,Yes,Yes,0.947002
Dollar General,Maiden,Catawba,NC,35.597,-81.255,"Rural (< 5,000)",3458,3,8.2,0.128,442.0,158926,27,1.7,1.54,Yes,0.128210613744762,20376,Yes,Yes,0.947002
Dollar General,Maiden,Catawba,NC,35.561,-81.062,"Rural (< 5,000)",3458,3,8.2,0.128,442.0,158926,27,1.7,1.54,Yes,0.128210613744762,20376,Yes,Yes,0.947002
Dollar General,Maggie Valley,Haywood,NC,35.512,-83.073,"Rural (< 5,000)",2271,1,8.22,0.118,269.0,61714,10,1.62,1.51,Yes,0.112778299899537,6960,Yes,Yes,0.945465
Dollar General,Marshville,Union,NC,34.985,-80.374,"Rural (< 5,000)",2473,2,8.3,0.18,446.0,241896,12,0.5,0.42,Yes,0.0766031683037338,18530,Yes,Yes,0.000000
Dollar General,Marshville,Union,NC,35.132,-80.37,"Rural (< 5,000)",2473,2,8.3,0.18,446.0,241896,12,0.5,0.42,Yes,0.0766031683037338,18530,Yes,Yes,0.000000
Dollar General,Advance,Davie,NC,36.007,-80.436,"Rural (< 5,000)",1544,1,8.33,0.056,87.0,43186,9,2.08,1.92,Yes,0.0998008613902654,4310,Yes,Yes,0.000000
Dollar General,Holly Ridge,Onslow,NC,34.537,-77.504,"Rural (< 5,000)",4532,2,8.35,0.008,38.0,186008,17,0.91,0.83,Yes,0.117167003569739,21794,Yes,Yes,0.000000
Dollar General,Holly Ridge,Onslow,NC,34.499,-77.493,"Rural (< 5,000)",4532,2,8.35,0.008,38.0,186008,17,0.91,0.83,Yes,0.117167003569739,21794,Yes,Yes,0.000000
Dollar General,Roseboro,Sampson,NC,34.956,-78.51,"Rural (< 5,000)",1006,1,8.35,0.375,377.0,57941,11,1.9,1.76,Yes,0.202395540290986,11727,Yes,Yes,0.000000
Dollar General,Jonesville,Yadkin,NC,36.24,-80.844,"Rural (< 5,000)",2782,2,8.36,0.232,646.0,37017,9,2.43,2.04,Yes,0.136423805278656,5050,Yes,Yes,0.000000
Dollar General,Jonesville,Yadkin,NC,36.194,-80.81,"Rural (< 5,000)",2782,2,8.36,0.232,646.0,37017,9,2.43,2.04,Yes,0.136423805278656,5050,Yes,Yes,0.000000
Dollar General,Edenton,Chowan,NC,36.061,-76.618,"Rural (< 5,000)",4266,4,8.56,0.357,1524.0,13584,5,3.68,1.07,Yes,0.205388692579505,2790,Yes,Yes,0.970628
Dollar General,Edenton,Chowan,NC,36.076,-76.596,"Rural (< 5,000)",4266,4,8.56,0.357,1524.0,13584,5,3.68,1.07,Yes,0.205388692579505,2790,Yes,Yes,0.970628
Dollar General,Edenton,Chowan,NC,36.138,-76.659,"Rural (< 5,000)",4266,4,8.56,0.357,1524.0,13584,5,3.68,1.07,Yes,0.205388692579505,2790,Yes,Yes,0.970628
Dollar General,Edenton,Chowan,NC,36.1,-76.533,"Rural (< 5,000)",4266,4,8.56,0.357,1524.0,13584,5,3.68,1.07,Yes,0.205388692579505,2790,Yes,Yes,0.970628
Dollar General,Madison,Rockingham,NC,36.328,-79.946,"Rural (< 5,000)",2198,2,8.6,0.094,206.0,89541,19,2.12,1.95,Yes,0.168481477758792,15086,Yes,Yes,1.000000
Dollar General,Madison,Rockingham,NC,36.385,-79.959,"Rural (< 5,000)",2198,2,8.6,0.094,206.0,89541,19,2.12,1.95,Yes,0.168481477758792,15086,Yes,Yes,1.000000
Dollar General,Broadway,Lee,NC,35.46,-79.053,"Rural (< 5,000)",1417,1,8.7,0.198,281.0,63282,11,1.74,1.62,Yes,0.154656932461047,9787,Yes,Yes,0.000000
Dollar General,Ellerbe,Richmond,NC,35.062,-79.763,"Rural (< 5,000)",1070,1,8.72,0.16,171.0,41632,10,2.4,2.22,Yes,0.251681398923905,10478,Yes,Yes,0.000000
Dollar General,Plymouth,Washington,NC,35.848,-76.755,"Rural (< 5,000)",3155,3,8.83,0.345,1089.0,10649,5,4.7,2.67,Yes,0.247065452155132,2631,Yes,Yes,0.000000
Dollar General,Plymouth,Washington,NC,35.862,-76.733,"Rural (< 5,000)",3155,3,8.83,0.345,1089.0,10649,5,4.7,2.67,Yes,0.247065452155132,2631,Yes,Yes,0.000000
Dollar General,Plymouth,Washington,NC,35.872,-76.694,"Rural (< 5,000)",3155,3,8.83,0.345,1089.0,10649,5,4.7,2.67,Yes,0.247065452155132,2631,Yes,Yes,0.000000
Dollar General,Benson,Johnston,NC,35.321,-78.456,"Rural (< 5,000)",4054,3,8.95,0.329,1333.0,223985,19,0.85,0.73,Yes,0.11190481505458,25065,Yes,Yes,0.000000
Dollar General,Benson,Johnston,NC,35.377,-78.555,"Rural (< 5,000)",4054,3,8.95,0.329,1333.0,223985,19,0.85,0.73,Yes,0.11190481505458,25065,Yes,Yes,0.000000
Dollar General,Benson,Johnston,NC,35.516,-78.562,"Rural (< 5,000)",4054,3,8.95,0.329,1333.0,223985,19,0.85,0.73,Yes,0.11190481505458,25065,Yes,Yes,0.000000
Dollar General,Stoneville,Rockingham,NC,36.468,-79.907,"Rural (< 5,000)",1208,1,9.03,0.233,281.0,89541,19,2.12,2.04,Yes,0.168481477758792,15086,Yes,Yes,0.000000
Dollar General,Linwood,Davidson,NC,35.736,-80.377,"Rural (< 5,000)",1100,1,9.09,,,169012,24,1.42,1.37,Yes,0.138256455162947,23367,Yes,Yes,
Dollar General,Calabash,Brunswick,NC,33.936,-78.571,"Rural (< 5,000)",2397,2,9.1,0.207,495.0,144672,22,1.52,1.41,Yes,0.0937983853129839,13570,Yes,Yes,0.971656
Dollar General,Calabash,Brunswick,NC,33.898,-78.552,"Rural (< 5,000)",2397,2,9.1,0.207,495.0,144672,22,1.52,1.41,Yes,0.0937983853129839,13570,Yes,Yes,0.971656
Dollar General,Spruce Pine,Mitchell,NC,35.894,-82.067,"Rural (< 5,000)",2297,2,9.14,0.182,418.0,14580,4,2.74,1.63,Yes,0.129561042524006,1889,Yes,Yes,0.000000
Dollar General,Spruce Pine,Mitchell,NC,35.922,-82.051,"Rural (< 5,000)",2297,2,9.14,0.182,418.0,14580,4,2.74,1.63,Yes,0.129561042524006,1889,Yes,Yes,0.000000
Dollar General,Maysville,Jones,NC,34.898,-77.232,"Rural (< 5,000)",978,1,9.16,0.218,213.0,9131,3,3.29,2.45,Yes,0.212682072062206,1942,Yes,Yes,0.000000
Dollar General,Lucama,Wilson,NC,35.649,-78.001,"Rural (< 5,000)",1087,1,9.2,0.264,287.0,77254,12,1.55,1.44,Yes,0.210034431874078,16226,Yes,Yes,0.000000
Dollar General,Shallotte,Brunswick,NC,33.941,-78.411,"Rural (< 5,000)",4365,4,9.4,0.099,431.0,144672,22,1.52,1.28,Yes,0.0937983853129839,13570,Yes,Yes,0.000239
Dollar General,Shallotte,Brunswick,NC,33.919,-78.407,"Rural (< 5,000)",4365,4,9.4,0.099,431.0,144672,22,1.52,1.28,Yes,0.0937983853129839,13570,Yes,Yes,0.000239
